onset	duration	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	4555897.007654	n04555897_7654	139	1112	n/a
40	8	1	2131653.012495	n02131653_12495	24	186	n/a
48	8	1	3038480.006604	n03038480_6604	55	439	n/a
56	8	1	1855672.015809	n01855672_15809	13	103	n/a
64	8	1	2882647.020819	n02882647_20819	50	397	n/a
72	8	1	2090827.017605	n02090827_17605	23	180	n/a
80	8	1	3544143.011110	n03544143_11110	81	641	n/a
88	8	1	7734744.005653	n07734744_5653	144	1148	n/a
96	8	1	4254680.010170	n04254680_10170	119	946	n/a
104	8	1	3261776.024181	n03261776_24181	63	499	n/a
112	8	1	3085013.023944	n03085013_23944	58	462	n/a
120	8	1	13111881.015726	n13111881_15726	150	1195	n/a
128	8	2	13111881.015726	n13111881_15726	150	1195	129.034280
136	8	1	2800213.011791	n02800213_11791	44	345	n/a
144	8	1	2481823.008477	n02481823_8477	37	296	n/a
152	8	1	2998003.001995	n02998003_1995	54	425	n/a
160	8	1	3079230.020064	n03079230_20064	57	451	n/a
168	8	1	4233124.018339	n04233124_18339	118	943	n/a
176	8	1	2885462.019412	n02885462_19412	51	405	n/a
184	8	1	4373894.031776	n04373894_31776	126	1004	n/a
192	8	1	3496296.012686	n03496296_12686	77	611	n/a
200	8	1	3345487.008958	n03345487_8958	65	520	n/a
208	8	1	3760671.010975	n03760671_10975	94	745	n/a
216	8	1	3335030.018236	n03335030_18236	64	507	n/a
224	8	1	12596148.006943	n12596148_6943	149	1190	n/a
232	8	1	4090263.006394	n04090263_6394	109	871	n/a
240	8	1	2055803.005499	n02055803_5499	20	154	n/a
248	8	1	3494278.040471	n03494278_40471	76	607	n/a
256	8	1	2769748.015626	n02769748_15626	42	329	n/a
264	8	2	2769748.015626	n02769748_15626	42	329	265.043422
272	8	1	4044716.013601	n04044716_13601	106	843	n/a
280	8	1	3815615.005104	n03815615_5104	98	782	n/a
288	8	1	3483823.005222	n03483823_5222	75	595	n/a
296	8	1	4497801.003101	n04497801_3101	138	1100	n/a
304	8	2	4497801.003101	n04497801_3101	138	1100	305.041842
312	8	1	4320973.010759	n04320973_10759	125	993	n/a
320	8	1	3359137.016646	n03359137_16646	66	521	n/a
328	8	2	3359137.016646	n03359137_16646	66	521	329.039514
336	8	1	4272054.061432	n04272054_61432	121	968	n/a
344	8	1	2802215.004806	n02802215_4806	45	358	n/a
352	8	1	1770393.029944	n01770393_29944	8	64	n/a
360	8	1	1645776.008522	n01645776_8522	3	19	n/a
368	8	1	4070727.016664	n04070727_16664	107	850	n/a
376	8	1	1784675.013237	n01784675_13237	10	73	n/a
384	8	1	1772222.016161	n01772222_16161	9	72	n/a
392	8	1	1877134.008213	n01877134_8213	14	112	n/a
400	8	1	4409515.006804	n04409515_6804	130	1039	n/a
408	8	1	1833805.012045	n01833805_12045	12	90	n/a
416	8	1	4168199.009862	n04168199_9862	114	912	n/a
424	8	1	3543603.007440	n03543603_7440	80	638	n/a
432	8	1	4255586.004487	n04255586_4487	120	956	n/a
440	8	1	4419073.021368	n04419073_21368	133	1062	n/a
448	8	1	3793489.011217	n03793489_11217	97	770	n/a
456	8	1	3609235.010979	n03609235_10979	84	665	n/a
464	8	2	3609235.010979	n03609235_10979	84	665	465.032519
472	6	-2	n/a	n/a	n/a	n/a	n/a
