onset	duration	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	2445715.010261	n02445715_10261	34	265	n/a
40	8	1	1833805.007892	n01833805_7892	12	95	n/a
48	8	1	4412416.017390	n04412416_17390	132	1053	n/a
56	8	1	3646296.007798	n03646296_7798	88	703	n/a
64	8	1	4373894.051904	n04373894_51904	126	1007	n/a
72	8	2	4373894.051904	n04373894_51904	126	1007	73.062972
80	8	1	3792782.007077	n03792782_7077	96	767	n/a
88	8	1	3612010.012996	n03612010_12996	85	674	n/a
96	8	2	3612010.012996	n03612010_12996	85	674	97.027454
104	8	1	3496296.014333	n03496296_14333	77	613	n/a
112	8	1	4197391.003999	n04197391_3999	116	925	n/a
120	8	1	3445777.010587	n03445777_10587	72	569	n/a
128	8	1	3397947.008954	n03397947_8954	68	543	n/a
136	8	1	2841315.022761	n02841315_22761	48	382	n/a
144	8	1	12596148.005651	n12596148_5651	149	1188	n/a
152	8	1	2391049.010452	n02391049_10452	31	241	n/a
160	8	1	1639765.022407	n01639765_22407	2	9	n/a
168	8	2	1639765.022407	n01639765_22407	2	9	171.023989
176	8	1	3746005.009272	n03746005_9272	93	744	n/a
184	8	1	3609235.010979	n03609235_10979	84	665	n/a
192	8	1	4273569.006437	n04273569_6437	122	976	n/a
200	8	1	2005790.005354	n02005790_5354	18	142	n/a
208	8	1	2374451.018010	n02374451_18010	30	238	n/a
216	8	1	4272054.038478	n04272054_38478	121	964	n/a
224	8	1	7734744.008048	n07734744_8048	144	1151	n/a
232	8	1	3950228.032200	n03950228_32200	103	821	n/a
240	8	1	2814860.018911	n02814860_18911	47	371	n/a
248	8	1	3209910.000157	n03209910_157	61	482	n/a
256	8	1	1963571.019280	n01963571_19280	16	124	n/a
264	8	1	4313503.023211	n04313503_23211	124	991	n/a
272	8	1	1877134.008213	n01877134_8213	14	112	n/a
280	8	2	1877134.008213	n01877134_8213	14	112	281.036322
288	8	1	1970164.026421	n01970164_26421	17	133	n/a
296	8	1	3815615.021684	n03815615_21684	98	780	n/a
304	8	1	1772222.011885	n01772222_11885	9	67	n/a
312	8	1	7758680.014681	n07758680_14681	146	1164	n/a
320	8	1	3085013.021300	n03085013_21300	58	458	n/a
328	8	1	4497801.000076	n04497801_76	138	1102	n/a
336	8	1	3335030.021952	n03335030_21952	64	508	n/a
344	8	1	3512147.047076	n03512147_47076	78	621	n/a
352	8	2	3512147.047076	n03512147_47076	78	621	353.030186
360	8	1	3541923.003599	n03541923_3599	79	629	n/a
368	8	1	4401680.022803	n04401680_22803	129	1027	n/a
376	8	1	2769748.037730	n02769748_37730	42	334	n/a
384	8	1	4284002.015310	n04284002_15310	123	981	n/a
392	8	1	3642806.013072	n03642806_13072	87	689	n/a
400	8	1	3886762.010969	n03886762_10969	100	793	n/a
408	8	1	1726692.008975	n01726692_8975	6	47	n/a
416	8	1	4123740.007009	n04123740_7009	111	887	n/a
424	8	1	4320973.009400	n04320973_9400	125	1000	n/a
432	8	1	7734017.012439	n07734017_12439	143	1138	n/a
440	8	1	4477387.006623	n04477387_6623	136	1085	n/a
448	8	1	3924679.002394	n03924679_2394	102	811	n/a
456	8	1	4409515.005752	n04409515_5752	130	1038	n/a
464	8	1	2346627.010311	n02346627_10311	29	225	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
